Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
472,Uroš Račić,rs SRB,MF,Sassuolo,25,1998,9.1,,5,,,,,,,,,,,7,,,,Matches
473,Nemanja Radonjić,rs SRB,MF,Torino,27,1996,4.2,,1,,,,,,,,,,,0,,,,Matches
474,Boris Radunović,rs SRB,GK,Cagliari,27,1996,7.0,,0,,,,,,,,,,,1,,,,Matches
475,Hamza Rafia,tn TUN,MF,Lecce,24,1999,13.4,,29,,,,,,,,,,,11,,,,Matches
476,Ylber Ramadani,al ALB,MF,Lecce,27,1996,33.0,,44,,,,,,,,,,,47,,,,Matches
477,Luca Ranieri,it ITA,DF,Fiorentina,24,1999,22.9,,11,,,,,,,,,,,27,,,,Matches
478,Filippo Ranocchia,it ITA,MF,Empoli,22,2001,5.3,,11,,,,,,,,,,,3,,,,Matches
479,Giacomo Raspadori,it ITA,FW,Napoli,23,2000,17.6,,11,,,,,,,,,,,4,,,,Matches
480,Federico Ravaglia,it ITA,GK,Bologna,23,1999,5.9,,0,,,,,,,,,,,0,,,,Matches
481,Tijjani Reijnders,nl NED,MF,Milan,25,1998,31.3,,25,,,,,,,,,,,19,,,,Matches
482,Reinier,br BRA,"MF,FW",Frosinone,21,2002,11.8,,10,,,,,,,,,,,10,,,,Matches
483,Mateo Retegui,it ITA,FW,Genoa,24,1999,24.6,,11,,,,,,,,,,,0,,,,Matches
484,Samuele Ricci,it ITA,MF,Torino,21,2001,26.6,,18,,,,,,,,,,,28,,,,Matches
485,Ricardo Rodríguez,ch SUI,"DF,MF",Torino,30,1992,30.8,,27,,,,,,,,,,,26,,,,Matches
486,Alessio Romagnoli,it ITA,DF,Lazio,28,1995,26.8,,16,,,,,,,,,,,31,,,,Matches
487,Simone Romagnoli,it ITA,DF,Frosinone,33,1990,30.2,,17,,,,,,,,,,,28,,,,Matches
488,Luka Romero,ar ARG,MF,Milan,18,2004,1.0,,1,,,,,,,,,,,0,,,,Matches
489,Marten de Roon,nl NED,"MF,DF",Atalanta,32,1991,28.9,,44,,,,,,,,,,,36,,,,Matches
490,Francesco Rossi,it ITA,GK,Atalanta,32,1991,0.1,,0,,,,,,,,,,,0,,,,Matches
491,Nicolò Rovella,it ITA,MF,Lazio,21,2001,14.6,,26,,,,,,,,,,,23,,,,Matches
492,Amir Rrahmani,xk KVX,DF,Napoli,29,1994,28.9,,27,,,,,,,,,,,19,,,,Matches
493,Ruan,br BRA,DF,Sassuolo,24,1999,16.8,,14,,,,,,,,,,,23,,,,Matches
494,Daniele Rugani,it ITA,DF,Juventus,29,1994,13.2,,10,,,,,,,,,,,8,,,,Matches
495,Matteo Ruggeri,it ITA,MF,Atalanta,21,2002,27.2,,15,,,,,,,,,,,22,,,,Matches
496,Mário Rui,pt POR,DF,Napoli,32,1991,13.4,,15,,,,,,,,,,,16,,,,Matches
497,Stefano Sabelli,it ITA,"MF,DF",Genoa,30,1993,27.0,,23,,,,,,,,,,,23,,,,Matches
498,Alexis Saelemaekers,be BEL,MF,Bologna,24,1999,21.0,,22,,,,,,,,,,,14,,,,Matches
499,Lazar Samardzic,rs SRB,MF,Udinese,21,2002,26.4,,17,,,,,,,,,,,9,,,,Matches
500,Junior Sambia,fr FRA,MF,Salernitana,26,1996,11.5,,5,,,,,,,,,,,10,,,,Matches
501,Antonio Sanabria,py PAR,FW,Torino,27,1996,23.7,,15,,,,,,,,,,,7,,,,Matches
502,Renato Sanches,pt POR,MF,Roma,25,1997,1.6,,1,,,,,,,,,,,0,,,,Matches
503,Alexis Sánchez,cl CHI,FW,Inter,34,1988,8.5,,6,,,,,,,,,,,1,,,,Matches
504,Alex Sandro,br BRA,DF,Juventus,32,1991,8.0,,8,,,,,,,,,,,18,,,,Matches
505,Nicola Sansone,it ITA,"MF,FW",Lecce,31,1991,8.5,,7,,,,,,,,,,,4,,,,Matches
506,Riccardo Saponara,it ITA,"MF,FW",Hellas Verona,31,1991,3.8,,1,,,,,,,,,,,0,,,,Matches
507,Zanos Savva,cy CYP,FW,Torino,17,2005,0.3,,1,,,,,,,,,,,0,,,,Matches
508,Saba Sazonov,ge GEO,DF,Torino,21,2002,4.0,,7,,,,,,,,,,,3,,,,Matches
509,Giorgio Scalvini,it ITA,DF,Atalanta,19,2003,28.3,,30,,,,,,,,,,,57,,,,Matches
510,Gianluca Scamacca,it ITA,FW,Atalanta,24,1999,16.1,,9,,,,,,,,,,,4,,,,Matches
511,Perr Schuurs,nl NED,DF,Torino,23,1999,8.6,,12,,,,,,,,,,,11,,,,Matches
512,Simone Scuffet,it ITA,GK,Cagliari,27,1996,31.0,,0,,,,,,,,,,,1,,,,Matches
513,Demba Seck,sn SEN,"FW,MF",Frosinone,22,2001,3.3,,5,,,,,,,,,,,1,,,,Matches
514,Demba Seck,sn SEN,MF,Torino,22,2001,4.7,,3,,,,,,,,,,,1,,,,Matches
515,Nikola Sekulov,it ITA,MF,Juventus,21,2002,0.1,,0,,,,,,,,,,,0,,,,Matches
516,Vivaldo Semedo,pt POR,FW,Udinese,18,2005,0.1,,0,,,,,,,,,,,0,,,,Matches
517,Stefano Sensi,it ITA,MF,Inter,27,1995,0.5,,1,,,,,,,,,,,1,,,,Matches
518,Suat Serdar,de GER,MF,Hellas Verona,26,1997,18.4,,39,,,,,,,,,,,17,,,,Matches
519,Andres Sfait,ro ROU,MF,Salernitana,18,2004,0.3,,1,,,,,,,,,,,0,,,,Matches
