Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
101,Antonio Candreva,it ITA,MF,Salernitana,36,1987,30.6,5,0,0,11,43,21,219,7,13,,,0,Matches
102,Luigi Canotto,it ITA,"FW,MF",Frosinone,29,1994,0.2,0,0,0,0,1,0,0,0,0,,,0,Matches
103,Gianluca Caprari,it ITA,"MF,FW",Monza,30,1993,3.2,0,0,0,3,5,2,8,2,1,,,0,Matches
104,Elia Caprile,it ITA,GK,Empoli,21,2001,23.0,0,0,0,1,7,0,0,0,0,,,0,Matches
105,Francesco Caputo,it ITA,FW,Empoli,35,1987,14.1,0,0,0,10,14,20,1,0,0,,,0,Matches
106,Andrea Carboni,it ITA,DF,Monza,22,2001,16.5,1,0,0,12,5,1,21,17,22,,,0,Matches
107,Valentin Carboni,ar ARG,MF,Monza,18,2005,13.0,2,0,0,21,20,3,14,7,13,,,0,Matches
108,Marco Carnesecchi,it ITA,GK,Atalanta,23,2000,26.9,0,0,0,1,2,0,0,0,0,,,0,Matches
109,Nicolò Casale,it ITA,DF,Lazio,25,1998,17.3,5,0,0,24,6,0,0,11,10,,,0,Matches
110,Giuseppe Caso,it ITA,FW,Frosinone,24,1998,4.6,2,0,0,5,14,1,2,0,3,,,0,Matches
111,Valentín Castellanos,ar ARG,FW,Lazio,24,1998,18.7,2,0,0,33,31,20,16,3,11,,,0,Matches
112,Samu Castillejo,es ESP,"MF,FW",Sassuolo,28,1995,6.0,2,0,0,11,18,1,34,1,10,,,0,Matches
113,Santiago Castro,ar ARG,FW,Bologna,18,2004,2.7,1,0,0,7,7,0,1,0,1,,,0,Matches
114,Gaetano Castrovilli,it ITA,MF,Fiorentina,26,1997,4.1,0,0,0,4,5,1,9,2,2,,,0,Matches
115,Danilo Cataldi,it ITA,MF,Lazio,28,1994,15.1,8,0,0,17,8,0,31,18,11,,,0,Matches
116,Emil Ceide,no NOR,FW,Sassuolo,21,2001,2.0,0,0,0,2,1,0,5,0,1,,,0,Matches
117,Zeki Çelik,tr TUR,"DF,MF",Roma,26,1997,7.5,1,0,0,14,3,0,20,8,15,,,0,Matches
118,Fabien Centonze,fr FRA,DF,Hellas Verona,27,1996,7.5,2,0,0,13,7,1,28,9,8,,,0,Matches
119,Michele Cerofolini,it ITA,GK,Frosinone,24,1999,7.5,1,0,0,1,0,0,0,0,0,,,1,Matches
120,Alberto Cerri,it ITA,FW,Empoli,27,1996,6.1,2,0,0,15,9,6,1,3,3,,,0,Matches
121,Leonardo Cerri,it ITA,FW,Juventus,20,2003,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
122,Charlys,br BRA,MF,Hellas Verona,19,2004,0.3,0,0,0,0,0,0,0,1,0,,,0,Matches
123,Walid Cheddira,ma MAR,FW,Frosinone,25,1998,23.6,0,0,0,27,43,16,3,4,7,,,0,Matches
124,Federico Chiesa,it ITA,FW,Juventus,25,1997,24.4,1,0,0,14,40,7,117,6,11,,,0,Matches
125,Oliver Christensen,dk DEN,GK,Fiorentina,24,1999,4.0,0,0,0,2,1,0,0,0,0,,,0,Matches
126,Samuel Chukwueze,ng NGA,"MF,FW",Milan,24,1999,11.3,1,0,0,7,12,7,21,6,7,,,0,Matches
127,Alphadjo Cissè,it ITA,MF,Hellas Verona,16,2006,0.1,0,0,0,1,0,0,0,0,0,,,0,Matches
128,Giorgio Cittadini,it ITA,DF,Monza,21,2002,0.2,1,0,0,1,1,0,0,0,1,,,0,Matches
129,Giorgio Cittadini,it ITA,DF,Genoa,21,2002,1.2,0,0,0,2,4,0,0,3,5,,,0,Matches
130,Patrick Ciurria,it ITA,MF,Monza,28,1995,17.8,2,0,0,29,14,4,53,9,20,,,0,Matches
131,Lorenzo Colombo,it ITA,FW,Monza,21,2002,15.1,3,0,0,25,24,6,2,0,11,,,0,Matches
