Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
220,Yarek Gasiorowski,es ESP,DF,Valencia,19,2005,15,9,947,10.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
221,Gavi,es ESP,MF,Barcelona,19,2004,26,14,1085,12.1,1,1,2,1,0,0,4,0,0.08,0.08,0.17,0.08,0.17,Matches
222,Paulo Gazzaniga,ar ARG,GK,Girona,32,1992,36,36,3195,35.5,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
223,Bryan Gil,es ESP,"MF,FW",Girona,23,2001,25,21,1721,19.1,3,3,6,3,0,0,4,0,0.16,0.16,0.31,0.16,0.31,Matches
227,Sergio Gómez,es ESP,MF,Real Sociedad,23,2000,37,31,2738,30.4,2,5,7,2,0,0,4,0,0.07,0.16,0.23,0.07,0.23,Matches
228,Unai Gómez,es ESP,"MF,FW",Athletic Club,21,2003,32,14,1284,14.3,1,3,4,1,0,0,1,0,0.07,0.21,0.28,0.07,0.28,Matches
232,Urko González,es ESP,MF,Espanyol,23,2001,17,16,1374,15.3,0,2,2,0,0,0,2,0,0.00,0.13,0.13,0.00,0.13,Matches
233,Andoni Gorosabel,es ESP,DF,Athletic Club,27,1996,20,17,1485,16.5,0,2,2,0,0,0,5,0,0.00,0.12,0.12,0.00,0.12,Matches
235,Dominik Greif,sk SVK,GK,Mallorca,27,1997,31,31,2790,31.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
236,Antoine Griezmann,fr FRA,"FW,MF",Atlético Madrid,33,1991,38,29,2469,27.4,8,7,15,7,1,2,2,0,0.29,0.26,0.55,0.26,0.51,Matches
238,Vicente Guaita,es ESP,GK,Celta Vigo,37,1987,34,34,3060,34.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
240,Nemanja Gudelj,rs SRB,"MF,DF",Sevilla,32,1991,31,27,2493,27.7,1,1,2,0,1,1,6,0,0.04,0.04,0.07,0.00,0.04,Matches
241,Javier Guerra,es ESP,MF,Valencia,21,2003,36,31,2581,28.7,3,3,6,3,0,0,5,0,0.10,0.10,0.21,0.10,0.21,Matches
242,Ander Guevara,es ESP,MF,Alavés,27,1997,33,20,1947,21.6,0,1,1,0,0,0,3,0,0.00,0.05,0.05,0.00,0.05,Matches
