Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,A-xAG,KP,1/3,PPA,CrsPA,Matches
184,Arijon Ibrahimović,de GER,MF,Bayern Munich,18,2005,0.0,,,,,,,,,,,,,,,0,,,,,,Matches
185,Andrej Ilic,rs SRB,FW,Union Berlin,24,2000,10.4,,,,,,,,,,,,,,,0,,,,,,Matches
186,Jackson Irvine,au AUS,MF,St Pauli,31,1993,29.0,,,,,,,,,,,,,,,6,,,,,,Matches
187,Ko Itakura,jp JPN,DF,Gladbach,27,1997,31.0,,,,,,,,,,,,,,,0,,,,,,Matches
188,Hiroki Ito,jp JPN,DF,Bayern Munich,25,1999,2.8,,,,,,,,,,,,,,,0,,,,,,Matches
189,Marko Ivezić,rs SRB,DF,Holstein Kiel,22,2001,18.4,,,,,,,,,,,,,,,0,,,,,,Matches
190,Lee Jae-sung,kr KOR,MF,Mainz 05,31,1992,29.4,,,,,,,,,,,,,,,6,,,,,,Matches
191,Kristijan Jakić,hr CRO,MF,Augsburg,27,1997,25.6,,,,,,,,,,,,,,,1,,,,,,Matches
192,Luca Jaquez,ch SUI,DF,Stuttgart,21,2003,2.8,,,,,,,,,,,,,,,0,,,,,,Matches
193,Dominik Javorček,sk SVK,"MF,DF",Holstein Kiel,21,2002,4.3,,,,,,,,,,,,,,,2,,,,,,Matches
194,Finn Jeltsch,de GER,DF,Stuttgart,18,2006,8.7,,,,,,,,,,,,,,,0,,,,,,Matches
195,Fredrik Jensen,fi FIN,"MF,FW",Augsburg,26,1997,8.5,,,,,,,,,,,,,,,0,,,,,,Matches
196,Moritz Jenz,de GER,DF,Mainz 05,25,1999,17.8,,,,,,,,,,,,,,,0,,,,,,Matches
197,Carl Johansson,se SWE,DF,Holstein Kiel,30,1994,6.3,,,,,,,,,,,,,,,0,,,,,,Matches
198,Anthony Jung,de GER,DF,Werder Bremen,32,1991,21.1,,,,,,,,,,,,,,,0,,,,,,Matches
199,Josip Juranović,hr CRO,"MF,DF",Union Berlin,28,1995,12.9,,,,,,,,,,,,,,,1,,,,,,Matches
200,David Jurásek,cz CZE,"DF,MF",Hoffenheim,23,2000,6.9,,,,,,,,,,,,,,,1,,,,,,Matches
201,Yusuf Kabadayı,de GER,FW,Augsburg,20,2004,0.8,,,,,,,,,,,,,,,0,,,,,,Matches
202,Almugera Kabar,de GER,DF,Dortmund,18,2006,1.5,,,,,,,,,,,,,,,0,,,,,,Matches
203,Issa Kaboré,bf BFA,MF,Werder Bremen,23,2001,3.4,,,,,,,,,,,,,,,0,,,,,,Matches
204,Pavel Kadeřábek,cz CZE,"MF,DF",Hoffenheim,32,1992,17.5,,,,,,,,,,,,,,,0,,,,,,Matches
205,Jakub Kamiński,pl POL,"MF,DF",Wolfsburg,22,2002,12.6,,,,,,,,,,,,,,,2,,,,,,Matches
206,Kevin Kampl,si SVN,MF,RB Leipzig,33,1990,17.7,,,,,,,,,,,,,,,0,,,,,,Matches
207,Harry Kane,eng ENG,FW,Bayern Munich,31,1993,26.5,,,,,,,,,,,,,,,9,,,,,,Matches
208,Atakan Karazor,tr TUR,MF,Stuttgart,27,1996,29.1,,,,,,,,,,,,,,,4,,,,,,Matches
209,Mikkel Kaufmann,dk DEN,"FW,MF",Heidenheim,23,2001,4.1,,,,,,,,,,,,,,,0,,,,,,Matches
210,Yannik Keitel,de GER,MF,Stuttgart,24,2000,3.0,,,,,,,,,,,,,,,0,,,,,,Matches
211,Andu Kelati,de GER,MF,Holstein Kiel,21,2002,3.2,,,,,,,,,,,,,,,1,,,,,,Matches
212,Thomas Keller,de GER,"MF,DF",Heidenheim,24,1999,1.6,,,,,,,,,,,,,,,0,,,,,,Matches
213,Aljoscha Kemlein,de GER,MF,Union Berlin,19,2004,10.2,,,,,,,,,,,,,,,0,,,,,,Matches
214,Luca Kerber,de GER,MF,Heidenheim,22,2002,8.7,,,,,,,,,,,,,,,0,,,,,,Matches
215,Rani Khedira,de GER,MF,Union Berlin,30,1994,30.3,,,,,,,,,,,,,,,1,,,,,,Matches
216,Joshua Kimmich,de GER,MF,Bayern Munich,29,1995,31.6,,,,,,,,,,,,,,,7,,,,,,Matches
217,Tim Kleindienst,de GER,FW,Gladbach,28,1995,30.4,,,,,,,,,,,,,,,7,,,,,,Matches
218,Lukas Klostermann,de GER,DF,RB Leipzig,28,1996,20.4,,,,,,,,,,,,,,,0,,,,,,Matches
219,Ansgar Knauff,de GER,MF,Eintracht Frankfurt,22,2002,17.7,,,,,,,,,,,,,,,5,,,,,,Matches
