Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
233,Jérémy Jacquet,fr FRA,DF,Rennes,18,2005,0.1,0,0,0,,0.00,0.00,,,0,0,Matches
234,Jérémy Jacquet,fr FRA,DF,Clermont Foot,18,2005,2.8,0,1,0,0.0,0.36,0.00,0.00,,0,0,Matches
235,Ismail Jakobs,sn SEN,"MF,DF",Monaco,23,1999,16.3,1,21,7,33.3,1.29,0.43,0.05,0.14,0,0,Matches
236,Ablie Jallow,gm GAM,"MF,FW",Metz,24,1998,10.2,3,18,7,38.9,1.76,0.69,0.11,0.29,1,1,Matches
237,Danley Jean-Jacques,ht HAI,MF,Metz,23,2000,29.8,0,34,5,14.7,1.14,0.17,0.00,0.00,0,0,Matches
238,Jeffinho,br BRA,"MF,FW",Lyon,23,1999,3.4,1,11,3,27.3,3.21,0.88,0.09,0.33,0,0,Matches
239,Antoine Joujou,fr FRA,"MF,FW",Le Havre,20,2003,8.7,0,20,3,15.0,2.31,0.35,0.00,0.00,0,0,Matches
240,Christopher Jullien,fr FRA,DF,Montpellier,30,1993,13.7,1,7,1,14.3,0.51,0.07,0.14,1.00,0,0,Matches
241,Eli Junior Kroupi,fr FRA,FW,Lorient,17,2006,12.0,5,22,12,54.5,1.83,1.00,0.23,0.42,0,0,Matches
242,Abdoul Kader Bamba,fr FRA,MF,Nantes,29,1994,6.8,2,14,5,35.7,2.06,0.74,0.14,0.40,0,0,Matches
243,Yaya Kader Fofana,ml MLI,MF,Reims,19,2004,0.4,0,3,1,33.3,8.44,2.81,0.00,0.00,0,0,Matches
244,Tino Kadewere,zw ZIM,FW,Lyon,27,1996,3.3,0,6,1,16.7,1.82,0.30,0.00,0.00,0,0,Matches
245,Tino Kadewere,zw ZIM,"FW,MF",Nantes,27,1996,8.7,1,10,5,50.0,1.15,0.58,0.10,0.20,0,1,Matches
246,Arnaud Kalimuendo,fr FRA,FW,Rennes,21,2002,23.8,10,61,24,39.3,2.57,1.01,0.13,0.33,2,2,Matches
247,Gedeon Kalulu,cd COD,"MF,DF",Lorient,25,1997,10.8,0,6,1,16.7,0.56,0.09,0.00,0.00,0,0,Matches
248,Warren Kamanzi,no NOR,"MF,DF",Toulouse,22,2000,13.2,0,6,0,0.0,0.45,0.00,0.00,,0,0,Matches
249,Lee Kang-in,kr KOR,"MF,FW",Paris Saint-Germain,22,2001,16.3,3,23,9,39.1,1.41,0.55,0.13,0.33,0,0,Matches
250,Yann Karamoh,fr FRA,FW,Montpellier,25,1998,3.2,1,5,3,60.0,1.58,0.95,0.20,0.33,0,0,Matches
251,Ayman Kari,fr FRA,MF,Lorient,18,2004,9.9,1,7,3,42.9,0.71,0.30,0.14,0.33,0,0,Matches
252,Panos Katseris,gr GRE,MF,Lorient,22,2001,11.6,1,17,6,35.3,1.47,0.52,0.06,0.17,0,0,Matches
253,Kévin Keben Biakolo,cm CMR,"DF,MF",Toulouse,19,2004,5.8,0,1,0,0.0,0.17,0.00,0.00,,0,0,Matches
254,Yassine Kechta,ma MAR,MF,Le Havre,21,2002,20.5,2,20,9,45.0,0.97,0.44,0.10,0.22,0,0,Matches
255,Thilo Kehrer,de GER,DF,Monaco,26,1996,14.7,1,12,4,33.3,0.82,0.27,0.08,0.25,0,0,Matches
256,Habib Keita,ml MLI,MF,Clermont Foot,21,2002,14.2,1,20,5,25.0,1.41,0.35,0.05,0.20,0,0,Matches
257,Reda Khadra,de GER,"MF,FW",Reims,22,2001,15.2,1,23,12,52.2,1.51,0.79,0.04,0.08,0,0,Matches
258,Wahbi Khazri,tn TUN,"MF,FW",Montpellier,32,1991,12.6,1,44,16,36.4,3.50,1.27,0.02,0.06,0,0,Matches
259,Abdukodir Khusanov,uz UZB,DF,Lens,19,2004,9.0,0,5,2,40.0,0.56,0.22,0.00,0.00,0,0,Matches
260,Philipp Köhn,ch SUI,GK,Monaco,25,1998,22.0,0,0,0,,0.00,0.00,,,0,0,Matches
261,Randal Kolo Muani,fr FRA,"FW,MF",Paris Saint-Germain,24,1998,14.1,6,22,13,59.1,1.56,0.92,0.27,0.46,0,0,Matches
262,Cheick Konaté,ml MLI,"MF,DF",Clermont Foot,19,2004,11.9,1,14,4,28.6,1.18,0.34,0.07,0.25,0,0,Matches
263,Geoffrey Kondogbia,cf CTA,MF,Marseille,30,1993,16.3,0,8,1,12.5,0.49,0.06,0.00,0.00,0,0,Matches
264,Abdoul Koné,fr FRA,DF,Reims,18,2005,2.1,0,0,0,,0.00,0.00,,,0,0,Matches
265,Amadou Koné,ml MLI,MF,Reims,18,2005,5.3,0,6,1,16.7,1.14,0.19,0.00,0.00,0,0,Matches
266,Ibrahima Koné,ml MLI,FW,Lorient,24,1999,0.4,0,0,0,,0.00,0.00,,,0,0,Matches
267,N'Guessan Kouadio,ci CIV,MF,Metz,20,2003,1.2,0,3,1,33.3,2.45,0.82,0.00,0.00,0,0,Matches
268,Koffi Kouao,ci CIV,DF,Metz,25,1998,9.6,0,5,1,20.0,0.52,0.10,0.00,0.00,0,0,Matches
269,Therence Koudou,fr FRA,DF,Reims,18,2004,3.5,0,2,1,50.0,0.57,0.29,0.00,0.00,0,0,Matches
270,Boubakar Kouyaté,ml MLI,DF,Montpellier,26,1997,21.4,0,13,2,15.4,0.61,0.09,0.00,0.00,0,0,Matches
271,Sael Kumbedi,fr FRA,"DF,MF",Lyon,18,2005,10.3,0,6,4,66.7,0.58,0.39,0.00,0.00,0,0,Matches
272,Layvin Kurzawa,fr FRA,DF,Paris Saint-Germain,30,1992,0.1,0,0,0,,0.00,0.00,,,0,0,Matches
273,Daler Kuzyaev,ru RUS,MF,Le Havre,30,1993,23.2,2,16,5,31.3,0.69,0.22,0.13,0.40,0,0,Matches
274,Grejohn Kyei,fr FRA,FW,Clermont Foot,27,1995,11.4,2,31,8,25.8,2.72,0.70,0.03,0.13,1,1,Matches
275,Gaëtan Laborde,fr FRA,"FW,MF",Nice,29,1994,21.2,5,64,23,35.9,3.02,1.09,0.06,0.17,1,2,Matches
276,Alexandre Lacazette,fr FRA,FW,Lyon,32,1991,25.5,19,62,36,58.1,2.43,1.41,0.27,0.47,2,2,Matches
277,Alban Lafont,ci CIV,GK,Nantes,24,1999,27.7,0,0,0,,0.00,0.00,,,0,0,Matches
278,Kenny Lala,mg MAD,DF,Brest,31,1991,33.0,2,14,7,50.0,0.42,0.21,0.14,0.29,0,0,Matches
279,Mathis Lambourde,fr FRA,FW,Rennes,17,2006,0.1,0,0,0,,0.00,0.00,,,0,0,Matches
280,Mohamed Lamine Bayo,gn GUI,FW,Le Havre,25,1998,15.4,5,47,19,40.4,3.05,1.23,0.06,0.16,2,2,Matches
281,Didier Lamkel Zé,cm CMR,"FW,MF",Metz,26,1996,6.1,1,11,3,27.3,1.80,0.49,0.09,0.33,0,0,Matches
282,Julien Laporte,fr FRA,DF,Lorient,29,1993,20.2,0,13,1,7.7,0.64,0.05,0.00,0.00,0,0,Matches
283,Théo Le Bris,fr FRA,MF,Lorient,20,2002,16.8,0,13,2,15.4,0.77,0.12,0.00,0.00,0,0,Matches
284,Julien Le Cardinal,fr FRA,DF,Brest,25,1997,5.3,0,4,2,50.0,0.76,0.38,0.00,0.00,0,0,Matches
285,Julien Le Cardinal,fr FRA,DF,Lens,25,1997,0.6,0,0,0,,0.00,0.00,,,0,0,Matches
