Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
241,Nicolás González,ar ARG,"MF,FW",Juventus,26,1998,26,23,1750,19.4,3,2,5,3,0,0,3,0,0.15,0.10,0.26,0.15,0.26,Matches
242,Robin Gosens,de GER,"DF,MF",Fiorentina,30,1994,32,29,2521,28.0,5,5,10,5,0,0,6,0,0.18,0.18,0.36,0.18,0.36,Matches
244,Alberto Grassi,it ITA,MF,Empoli,29,1995,28,27,2203,24.5,1,0,1,1,0,0,8,0,0.04,0.00,0.04,0.04,0.04,Matches
245,Mattéo Guendouzi,fr FRA,MF,Lazio,25,1999,37,37,3270,36.3,1,3,4,1,0,0,7,0,0.03,0.08,0.11,0.03,0.11,Matches
246,Frederic Guilbert,fr FRA,DF,Lecce,29,1994,31,31,2435,27.1,0,1,1,0,0,0,3,2,0.00,0.04,0.04,0.00,0.04,Matches
247,Albert Guðmundsson,is ISL,"FW,MF",Fiorentina,27,1997,24,16,1273,14.1,6,1,7,4,2,2,2,0,0.42,0.07,0.49,0.28,0.35,Matches
248,Emmanuel Gyasi,gh GHA,MF,Empoli,30,1994,37,37,3217,35.7,2,1,3,2,0,0,5,0,0.06,0.03,0.08,0.06,0.08,Matches
252,Antoine Hainaut,fr FRA,"DF,MF",Parma,22,2002,25,10,1206,13.4,2,0,2,2,0,0,4,0,0.15,0.00,0.15,0.15,0.15,Matches
254,Ridgeciano Haps,sr SUR,"MF,DF",Venezia,31,1993,25,14,1369,15.2,1,1,2,1,0,0,3,0,0.07,0.07,0.13,0.07,0.13,Matches
256,Liam Henderson,sct SCO,MF,Empoli,28,1996,36,27,2337,26.0,0,4,4,0,0,0,10,0,0.00,0.15,0.15,0.00,0.15,Matches
258,Theo Hernández,fr FRA,"DF,MF",Milan,26,1997,33,30,2696,30.0,4,3,7,4,0,1,4,1,0.13,0.10,0.23,0.13,0.23,Matches
259,Hernani,br BRA,MF,Parma,30,1994,25,15,1327,14.7,3,3,6,0,3,3,7,0,0.20,0.20,0.41,0.00,0.20,Matches
260,Isak Hien,se SWE,DF,Atalanta,25,1999,30,27,2327,25.9,0,0,0,0,0,0,10,0,0.00,0.00,0.00,0.00,0.00,Matches
