Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
171,Julio Enciso,py PAR,MF,Brighton,19,2004,5.3,,,,,,,,,,,,,,,,,Matches
172,Wataru Endo,jp JPN,MF,Liverpool,30,1993,19.1,,,,,,,,,,,,,,,,,Matches
173,Christian Eriksen,dk DEN,MF,Manchester Utd,31,1992,12.7,,,,,,,,,,,,,,,,,Matches
174,Maxime Estève,fr FRA,DF,Burnley,21,2002,14.5,,,,,,,,,,,,,,,,,Matches
175,Pervis Estupiñán,ec ECU,"DF,MF",Brighton,25,1998,13.8,,,,,,,,,,,,,,,,,Matches
176,Jonny Evans,nir NIR,DF,Manchester Utd,35,1988,15.5,,,,,,,,,,,,,,,,,Matches
177,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,25,1998,22.8,,,,,,,,,,,,,,,,,Matches
178,Łukasz Fabiański,pl POL,GK,West Ham United,38,1985,8.0,,,,,,,,,,,,,,,,,Matches
179,Romain Faivre,fr FRA,MF,Bournemouth,25,1998,0.5,,,,,,,,,,,,,,,,,Matches
180,Ansu Fati,es ESP,"MF,FW",Brighton,20,2002,5.8,,,,,,,,,,,,,,,,,Matches
181,Felipe,br BRA,DF,Nottingham Forest,34,1989,4.2,,,,,,,,,,,,,,,,,Matches
182,Evan Ferguson,ie IRL,FW,Brighton,18,2004,15.2,,,,,,,,,,,,,,,,,Matches
183,Bruno Fernandes,pt POR,MF,Manchester Utd,28,1994,34.6,,,,,,,,,,,,,,,,,Matches
184,Enzo Fernández,ar ARG,MF,Chelsea,22,2001,24.5,,,,,,,,,,,,,,,,,Matches
185,John Fleck,sct SCO,MF,Sheffield United,31,1991,1.0,,,,,,,,,,,,,,,,,Matches
186,Mark Flekken,nl NED,GK,Brentford,30,1993,36.5,,,,,,,,,,,,,,,,,Matches
187,Phil Foden,eng ENG,MF,Manchester City,23,2000,31.7,,,,,,,,,,,,,,,,,Matches
188,Wes Foderingham,eng ENG,GK,Sheffield United,32,1991,29.4,,,,,,,,,,,,,,,,,Matches
189,Pablo Fornals,es ESP,MF,West Ham United,27,1996,4.7,,,,,,,,,,,,,,,,,Matches
190,Omari Forson,eng ENG,MF,Manchester Utd,19,2004,0.8,,,,,,,,,,,,,,,,,Matches
191,Lyle Foster,za RSA,"FW,MF",Burnley,22,2000,21.1,,,,,,,,,,,,,,,,,Matches
192,Matheus França,br BRA,MF,Crystal Palace,19,2004,2.6,,,,,,,,,,,,,,,,,Matches
193,Nathan Fraser,ie IRL,FW,Wolves,18,2005,2.1,,,,,,,,,,,,,,,,,Matches
194,Cody Gakpo,nl NED,"FW,MF",Liverpool,24,1999,18.3,,,,,,,,,,,,,,,,,Matches
195,Conor Gallagher,eng ENG,MF,Chelsea,23,2000,34.8,,,,,,,,,,,,,,,,,Matches
196,Idrissa Gana Gueye,sn SEN,MF,Everton,33,1989,20.9,,,,,,,,,,,,,,,,,Matches
197,Ben Gannon-Doak,sct SCO,MF,Liverpool,17,2005,0.2,,,,,,,,,,,,,,,,,Matches
198,Alejandro Garnacho,ar ARG,MF,Manchester Utd,19,2004,28.5,,,,,,,,,,,,,,,,,Matches
199,James Garner,eng ENG,MF,Everton,22,2001,33.4,,,,,,,,,,,,,,,,,Matches
200,Saman Ghoddos,ir IRN,"DF,MF",Brentford,29,1993,8.2,,,,,,,,,,,,,,,,,Matches
201,Morgan Gibbs-White,eng ENG,"MF,FW",Nottingham Forest,23,2000,35.1,,,,,,,,,,,,,,,,,Matches
202,Bryan Gil,es ESP,MF,Tottenham Hotspur,22,2001,2.3,,,,,,,,,,,,,,,,,Matches
203,Alfie Gilchrist,eng ENG,DF,Chelsea,19,2003,2.3,,,,,,,,,,,,,,,,,Matches
204,Ryan Giles,eng ENG,"MF,DF",Luton Town,23,2000,5.6,,,,,,,,,,,,,,,,,Matches
205,Billy Gilmour,sct SCO,MF,Brighton,22,2001,23.6,,,,,,,,,,,,,,,,,Matches
206,Ben Godfrey,eng ENG,DF,Everton,25,1998,12.4,,,,,,,,,,,,,,,,,Matches
207,André Gomes,pt POR,MF,Everton,30,1993,5.6,,,,,,,,,,,,,,,,,Matches
208,João Gomes,br BRA,MF,Wolves,22,2001,29.4,,,,,,,,,,,,,,,,,Matches
209,Toti Gomes,pt POR,DF,Wolves,24,1999,30.8,,,,,,,,,,,,,,,,,Matches
210,Joe Gomez,eng ENG,DF,Liverpool,26,1997,19.8,,,,,,,,,,,,,,,,,Matches
211,Sergio Gómez,es ESP,"DF,MF",Manchester City,22,2000,0.6,,,,,,,,,,,,,,,,,Matches
212,Enso Gonzalez,py PAR,FW,Wolves,18,2005,0.0,,,,,,,,,,,,,,,,,Matches
213,Anthony Gordon,eng ENG,FW,Newcastle United,22,2001,32.1,,,,,,,,,,,,,,,,,Matches
214,Kaide Gordon,eng ENG,FW,Liverpool,18,2004,0.0,,,,,,,,,,,,,,,,,Matches
