Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
518,Enzo Tchato,cm CMR,"DF,MF",Montpellier,21,2002,27,21,1899,21.1,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
520,Tanner Tessmann,us USA,MF,Lyon,22,2001,25,13,1234,13.7,1,0,1,1,0,0,3,0,0.07,0.00,0.07,0.07,0.07,Matches
523,Sorba Thomas,wls WAL,"MF,DF",Nantes,24,1999,25,15,1321,14.7,1,3,4,1,0,0,3,0,0.07,0.20,0.27,0.07,0.27,Matches
524,Adrien Thomasson,fr FRA,MF,Lens,30,1993,33,31,2615,29.1,3,7,10,3,0,0,7,0,0.10,0.24,0.34,0.10,0.34,Matches
525,Corentin Tolisso,fr FRA,MF,Lyon,29,1994,32,27,2329,25.9,7,4,11,7,0,0,4,0,0.27,0.15,0.43,0.27,0.43,Matches
526,Abdoulaye Touré,gn GUI,MF,Le Havre,30,1994,28,26,2324,25.8,10,1,11,2,8,9,5,0,0.39,0.04,0.43,0.08,0.12,Matches
529,Adrien Truffert,fr FRA,"MF,DF",Rennes,22,2001,33,31,2752,30.6,2,2,4,2,0,0,3,0,0.07,0.07,0.13,0.07,0.13,Matches
530,Vanderson,br BRA,DF,Monaco,23,2001,29,23,2064,22.9,1,3,4,1,0,0,6,1,0.04,0.13,0.17,0.04,0.17,Matches
532,Jordan Veretout,fr FRA,MF,Lyon,31,1993,27,19,1553,17.3,2,0,2,2,0,0,3,0,0.12,0.00,0.12,0.12,0.12,Matches
534,Vitinha,pt POR,MF,Paris Saint-Germain,24,2000,29,20,2042,22.7,5,1,6,3,2,2,1,0,0.22,0.04,0.26,0.13,0.18,Matches
538,Christopher Wooh,cm CMR,DF,Rennes,22,2001,20,17,1456,16.2,0,0,0,0,0,0,6,1,0.00,0.00,0.00,0.00,0.00,Matches
539,Etienne Youte Kinkoue,fr FRA,DF,Le Havre,22,2002,28,26,2320,25.8,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches
543,Warren Zaïre-Emery,fr FRA,"MF,DF",Paris Saint-Germain,18,2006,29,23,2050,22.8,1,2,3,1,0,0,3,0,0.04,0.09,0.13,0.04,0.13,Matches
545,Denis Zakaria,ch SUI,MF,Monaco,27,1996,26,24,2144,23.8,6,4,10,4,2,2,5,0,0.25,0.17,0.42,0.17,0.34,Matches
546,Anass Zaroury,ma MAR,"MF,FW",Lens,23,2000,28,16,1405,15.6,2,2,4,2,0,0,3,1,0.13,0.13,0.26,0.13,0.26,Matches
547,Nathan Zeze,fr FRA,DF,Nantes,19,2005,18,17,1512,16.8,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches
548,Edon Zhegrova,xk KVX,MF,Lille,25,1999,12,12,978,10.9,4,1,5,4,0,0,1,0,0.37,0.09,0.46,0.37,0.46,Matches
552,Yanis Zouaoui,dz ALG,"DF,MF",Le Havre,30,1994,17,9,976,10.8,0,2,2,0,0,0,3,0,0.00,0.18,0.18,0.00,0.18,Matches
