Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,Matches
299,Adam Lallana,eng ENG,MF,Southampton,36,1988,4.0,,,,,,,,,,,,,,,,,,,,,Matches
300,Tariq Lamptey,gh GHA,"DF,MF",Brighton,23,2000,9.6,,,,,,,,,,,,,,,,,,,,,Matches
301,Will Lankshear,eng ENG,FW,Tottenham Hotspur,19,2005,0.1,,,,,,,,,,,,,,,,,,,,,Matches
302,Roméo Lavia,be BEL,MF,Chelsea,20,2004,8.9,,,,,,,,,,,,,,,,,,,,,Matches
303,Mario Lemina,ga GAB,"MF,DF",Wolves,30,1993,15.2,,,,,,,,,,,,,,,,,,,,,Matches
304,Bernd Leno,de GER,GK,Fulham,32,1992,38.0,,,,,,,,,,,,,,,,,,,,,Matches
305,Jefferson Lerma,co COL,"MF,DF",Crystal Palace,29,1994,25.3,,,,,,,,,,,,,,,,,,,,,Matches
306,Rico Lewis,eng ENG,"DF,MF",Manchester City,19,2004,21.0,,,,,,,,,,,,,,,,,,,,,Matches
307,Keane Lewis-Potter,eng ENG,"DF,MF",Brentford,23,2001,34.4,,,,,,,,,,,,,,,,,,,,,Matches
308,Myles Lewis-Skelly,eng ENG,DF,Arsenal,17,2006,15.2,,,,,,,,,,,,,,,,,,,,,Matches
309,Matthijs de Ligt,nl NED,DF,Manchester Utd,24,1999,23.6,,,,,,,,,,,,,,,,,,,,,Matches
310,Pedro Lima,br BRA,MF,Wolves,18,2006,0.8,,,,,,,,,,,,,,,,,,,,,Matches
311,Victor Lindelöf,se SWE,DF,Manchester Utd,30,1994,7.8,,,,,,,,,,,,,,,,,,,,,Matches
312,Jesper Lindstrøm,dk DEN,MF,Everton,24,2000,13.8,,,,,,,,,,,,,,,,,,,,,Matches
313,Valentino Livramento,eng ENG,DF,Newcastle United,21,2002,31.6,,,,,,,,,,,,,,,,,,,,,Matches
314,Sean Longstaff,eng ENG,MF,Newcastle United,26,1997,8.9,,,,,,,,,,,,,,,,,,,,,Matches
315,Saša Lukić,rs SRB,MF,Fulham,27,1996,26.0,,,,,,,,,,,,,,,,,,,,,Matches
316,Joe Lumley,eng ENG,GK,Southampton,29,1995,3.0,,,,,,,,,,,,,,,,,,,,,Matches
317,Massimo Luongo,au AUS,MF,Ipswich Town,31,1992,2.2,,,,,,,,,,,,,,,,,,,,,Matches
318,Ian Maatsen,nl NED,DF,Aston Villa,22,2002,12.7,,,,,,,,,,,,,,,,,,,,,Matches
319,Alexis Mac Allister,ar ARG,MF,Liverpool,25,1998,28.9,,,,,,,,,,,,,,,,,,,,,Matches
320,James Maddison,eng ENG,MF,Tottenham Hotspur,27,1996,20.1,,,,,,,,,,,,,,,,,,,,,Matches
321,Noni Madueke,eng ENG,MF,Chelsea,22,2002,22.6,,,,,,,,,,,,,,,,,,,,,Matches
322,Gabriel Magalhães,br BRA,DF,Arsenal,26,1997,26.3,,,,,,,,,,,,,,,,,,,,,Matches
323,Edmond-Paris Maghoma,eng ENG,MF,Brentford,23,2001,1.3,,,,,,,,,,,,,,,,,,,,,Matches
324,Harry Maguire,eng ENG,DF,Manchester Utd,31,1993,19.5,,,,,,,,,,,,,,,,,,,,,Matches
325,Kobbie Mainoo,eng ENG,MF,Manchester Utd,19,2005,18.3,,,,,,,,,,,,,,,,,,,,,Matches
326,Tyrell Malacia,nl NED,MF,Manchester Utd,24,1999,1.1,,,,,,,,,,,,,,,,,,,,,Matches
327,Donyell Malen,nl NED,MF,Aston Villa,25,1999,3.4,,,,,,,,,,,,,,,,,,,,,Matches
