Player,Squad,Pos,Min,xG,xA,season
Abel Bretones,Osasuna,DF,2061.0,0.4541091760620475,1.106137989088893,2024-25
Sergio González,Leganes,DF,2966.0,1.9580097878351808,0.5771256238222122,2024-25
Enzo Boyomo,"Osasuna,Real Valladolid",DF,3254.0,1.9415398044511676,1.0242035184055567,2024-25
Chuki,Real Valladolid,FW,720.0,2.6113636139780283,1.4040046986192465,2024-25
Bojan Miovski,Girona,FW,898.0,2.675680473446846,0.1712184799835086,2024-25
Jesús Rodriguez,Real Betis,MF,1143.0,2.506282079964876,0.35549480095505714,2024-25
Fernando López,Celta Vigo,FW,654.0,2.6400635838508606,2.177378611639142,2024-25
Arkaitz Mariezkurrena,Real Sociedad,FW,219.0,1.1344271898269653,0.5130060613155365,2024-25
Yan Diomande,Leganes,DF,544.0,1.2688960582017899,0.8170663304626942,2024-25
Matija Nastasic,Leganes,DF,2118.0,0.14439020305871964,0.08860144764184952,2024-25
Nyom,Getafe,DF,877.0,0.5395618956536055,0.366000946611166,2024-25
Jesús Navas,Sevilla,FW,410.0,0.6231549140065908,0.48120117746293545,2024-25
César Azpilicueta,Atletico Madrid,DF,881.0,0.18247812055051327,0.08769189566373825,2024-25
David López,Girona,DF,2429.0,1.0169810615479946,0.7759831454604864,2024-25
Adrián Embarba,Rayo Vallecano,FW,1603.0,2.273956812918186,2.5082478746771812,2024-25
Lucas Vázquez,Real Madrid,DF,2218.0,1.871920421719551,5.288628708571196,2024-25
Daniel Carvajal,Real Madrid,DF,613.0,1.1007791608572006,0.12688265182077885,2024-25
Saúl Ñíguez,Sevilla,MF,1556.0,3.6541598848998547,2.1105209328234196,2024-25
Koke,Atletico Madrid,MF,1915.0,1.498866917565465,1.3334013875573874,2024-25
Denis Suárez,Villarreal,MF,583.0,1.1482871770858765,1.693669954314828,2024-25
Omar Mascarell,Mallorca,MF,1994.0,0.855449890717864,0.08272714912891388,2024-25
Tejero,Espanyol,FW,1227.0,0.6695728795602918,3.328968109562993,2024-25
Rafa Mir,Valencia,FW,716.0,2.539221692830324,0.9352265745401382,2024-25
Óscar Trejo,Rayo Vallecano,MF,475.0,0.5267041753977537,0.7258390188217163,2024-25
Javi Muñoz,Las Palmas,DF,2592.0,2.036266847513616,2.3168882727622986,2024-25
Darko Brasanac,Leganes,MF,1606.0,2.0544604547321796,0.3227075841277838,2024-25
Yeray Álvarez,Athletic Club,DF,1784.0,0.6109129982069135,0.4750778339803219,2024-25
Asier Villalibre,Alaves,FW,298.0,1.7566380016505718,0.9450216889381409,2024-25
