Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,A-xAG,KP,1/3,PPA,CrsPA,Matches
96,Gino Caoki,fr FRA,FW,Lorient,19,2004,0.1,,,,,,,,,,,,,,,0,,,,,,Matches
97,Maxence Caqueret,fr FRA,MF,Lyon,23,2000,33.6,,,,,,,,,,,,,,,3,,,,,,Matches
98,Igor Carioca,br BRA,"MF,DF",Lorient,26,1996,2.9,,,,,,,,,,,,,,,0,,,,,,Matches
99,Antonin Cartillier,fr FRA,DF,Monaco,19,2004,0.1,,,,,,,,,,,,,,,0,,,,,,Matches
100,Josué Casimir,ht HAI,"MF,FW",Le Havre,21,2001,22.4,,,,,,,,,,,,,,,5,,,,,,Matches
101,Cristian Cásseres Jr.,ve VEN,MF,Toulouse,23,2000,21.6,,,,,,,,,,,,,,,3,,,,,,Matches
102,Jean-Charles Castelletto,cm CMR,DF,Nantes,28,1995,27.4,,,,,,,,,,,,,,,0,,,,,,Matches
103,Maximiliano Caufriez,be BEL,DF,Clermont Foot,26,1997,18.4,,,,,,,,,,,,,,,1,,,,,,Matches
104,Ivan Cavaleiro,pt POR,"MF,FW",Lille,29,1993,8.6,,,,,,,,,,,,,,,1,,,,,,Matches
105,Fabien Centonze,fr FRA,MF,Nantes,27,1996,1.0,,,,,,,,,,,,,,,0,,,,,,Matches
106,Fares Chaïbi,dz ALG,"FW,MF",Toulouse,20,2002,0.6,,,,,,,,,,,,,,,1,,,,,,Matches
107,Muhammed Cham,at AUT,"MF,FW",Clermont Foot,22,2000,28.4,,,,,,,,,,,,,,,4,,,,,,Matches
108,Brendan Chardonnet,fr FRA,DF,Brest,28,1994,33.0,,,,,,,,,,,,,,,1,,,,,,Matches
109,Jhoanner Chávez,ec ECU,"MF,DF",Lens,21,2002,5.3,,,,,,,,,,,,,,,0,,,,,,Matches
110,Rayan Cherki,fr FRA,"MF,FW",Lyon,19,2003,19.1,,,,,,,,,,,,,,,6,,,,,,Matches
111,Lucas Chevalier,fr FRA,GK,Lille,21,2001,33.0,,,,,,,,,,,,,,,0,,,,,,Matches
112,Pedro Chirivella,es ESP,MF,Nantes,26,1997,28.8,,,,,,,,,,,,,,,1,,,,,,Matches
113,Joris Chotard,fr FRA,MF,Montpellier,21,2001,28.7,,,,,,,,,,,,,,,3,,,,,,Matches
114,Djaoui Cissé,fr FRA,MF,Rennes,19,2004,0.0,,,,,,,,,,,,,,,0,,,,,,Matches
115,Ibrahim Cissoko,nl NED,MF,Toulouse,20,2003,2.7,,,,,,,,,,,,,,,1,,,,,,Matches
116,Alexis Claude-Maurice,fr FRA,MF,Nice,25,1998,5.6,,,,,,,,,,,,,,,0,,,,,,Matches
117,Jonathan Clauss,fr FRA,"DF,MF",Marseille,30,1992,23.0,,,,,,,,,,,,,,,4,,,,,,Matches
118,Marcus Coco,fr FRA,"MF,DF",Nantes,27,1996,16.5,,,,,,,,,,,,,,,0,,,,,,Matches
119,Maxime Colin,fr FRA,DF,Metz,31,1991,20.4,,,,,,,,,,,,,,,0,,,,,,Matches
120,Eray Cömert,ch SUI,DF,Nantes,25,1998,22.2,,,,,,,,,,,,,,,0,,,,,,Matches
121,Alois Confais,fr FRA,"DF,MF",Le Havre,26,1996,0.1,,,,,,,,,,,,,,,0,,,,,,Matches
122,Joaquín Correa,ar ARG,"MF,FW",Marseille,28,1994,4.8,,,,,,,,,,,,,,,0,,,,,,Matches
123,Oscar Cortés,co COL,MF,Lens,19,2003,0.5,,,,,,,,,,,,,,,1,,,,,,Matches
124,David Costa,pt POR,MF,Lens,22,2001,16.6,,,,,,,,,,,,,,,2,,,,,,Matches
125,Logan Costa,cv CPV,DF,Toulouse,22,2001,29.4,,,,,,,,,,,,,,,1,,,,,,Matches
126,Grégoire Coudert,fr FRA,GK,Brest,24,1999,2.0,,,,,,,,,,,,,,,0,,,,,,Matches
127,Mamadou Coulibaly,fr FRA,MF,Monaco,19,2004,1.3,,,,,,,,,,,,,,,0,,,,,,Matches
128,Tanguy Coulibaly,fr FRA,"MF,FW",Montpellier,22,2001,6.9,,,,,,,,,,,,,,,0,,,,,,Matches
129,Nicolas Cozza,fr FRA,"DF,MF",Nantes,24,1999,9.9,,,,,,,,,,,,,,,0,,,,,,Matches
130,Trévis Dago,ci CIV,FW,Lille,18,2005,0.3,,,,,,,,,,,,,,,1,,,,,,Matches
131,Thijs Dallinga,nl NED,FW,Toulouse,22,2000,27.9,,,,,,,,,,,,,,,2,,,,,,Matches
132,Kevin Danso,at AUT,DF,Lens,24,1998,29.5,,,,,,,,,,,,,,,0,,,,,,Matches
133,Dante,br BRA,DF,Nice,39,1983,31.6,,,,,,,,,,,,,,,1,,,,,,Matches
134,Raimane Daou,km COM,DF,Marseille,18,2004,0.3,,,,,,,,,,,,,,,0,,,,,,Matches
